"","latitude","longitude"
"569473",45.4340591430664,12.3382759094238
"447865",40.4948425292969,-3.69281196594238
"521348",21.8808822631836,-159.474411010742
"360258",40.6064109802246,-5.1259298324585
"924991",49.2826118469238,-123.11833190918
"628465",53.9614791870117,27.4452056884766
"279325",46.9262924194336,7.1120867729187
"464890",43.1251602172852,5.93111181259155
"16988",51.0179138183594,-3.83379793167114
"672076",15.2719440460205,73.9583358764648
"817918",36.8951873779297,111.876373291016
"878965",25.0894241333008,-80.4462509155273
"71373",13.4783458709717,99.9378433227539
"129989",35.4232978820801,136.760650634766
"51504",30.4559307098389,106.633201599121
"333538",38.9935531616211,-1.87329494953156
"655901",22.472770690918,120.465148925781
"961459",41.9007797241211,12.4832973480225
"465846",32.6955223083496,128.840835571289
"744250",45.2973251342773,-111.421325683594
"490056",35.9187393188477,14.4850339889526
"106476",42.991771697998,-78.7841720581055
"635248",12.084174156189,-68.8974227905273
"379120",40.4291114807129,-3.67272210121155
"769154",45.9823455810547,15.956374168396
"657457",43.3587684631348,2.8448588848114
"652475",-38.7470207214355,143.66145324707
"438376",36.0610885620117,103.83430480957
"394187",-33.427562713623,-70.6189651489258
"418068",47.773380279541,13.3542280197144
"11708",30.5722694396973,104.066543579102
"317516",26.2662410736084,73.0391235351562
"48310",45.808048248291,15.9421730041504
"195218",12.4215564727783,76.6931304931641
"452971",50.0811882019043,5.21661186218262
"439401",43.2394332885742,-2.25823998451233
"750570",-32.6938362121582,151.267822265625
"968170",41.2590293884277,13.4340744018555
"587795",47.0577926635742,13.6139516830444
"696258",15.5027742385864,73.9154052734375
"286544",28.6965484619141,-13.8910007476807
"879753",55.4893646240234,9.76390075683594
"218289",41.5084533691406,-4.45707416534424
"918178",44.0709266662598,15.2859153747559
"823605",51.5389785766602,-0.1049629971385
"627937",38.9019546508789,17.0983467102051
"867776",13.3728475570679,103.869163513184
"406531",17.9318256378174,73.8172225952148
"883620",39.9040298461914,116.407524108887
"664562",35.1887474060059,102.503082275391
"331737",44.677490234375,5.92794895172119
"777522",10.3000001907349,-84.8166656494141
"642389",51.7909393310547,55.102424621582
"741349",18.7986907958984,98.9720077514648
"6670",29.8553237915039,-99.0440063476562
"877597",24.9939975738525,121.451263427734
"154001",47.1745872497559,11.8703393936157
"49557",28.1532459259033,-15.6601648330688
"634353",5.32100820541382,100.290138244629
"931508",40.6259574890137,14.3515119552612
"63839",50.6790161132812,15.5312080383301
"925815",54.5358276367188,17.748176574707
"118020",37.9921340942383,-0.661584973335266
"674860",42.2078437805176,18.9434642791748
"703945",43.4614524841309,-5.05917119979858
"905721",46.6366310119629,126.980003356934
"215900",6.55569982528687,3.36115193367004
"871757",31.8205871582031,117.227241516113
"745521",33.239559173584,131.609268188477
"91083",13.7278957366943,100.524124145508
"191419",3.07138395309448,101.554893493652
"346339",43.1717338562012,16.4419097900391
"136936",43.105770111084,-5.8193941116333
"419014",16.418981552124,101.155090332031
"351930",20.6282825469971,-87.0757369995117
"60391",50.7771415710449,5.91247606277466
"970795",12.5740623474121,-70.0431518554688
"998485",50.1995582580566,10.0684404373169
"200965",43.5486717224121,16.3829917907715
"992468",34.2368125915527,108.946319580078
"646677",36.9162406921387,15.1466398239136
"646433",39.7789611816406,9.64618873596191
"712350",41.897647857666,12.4792528152466
"378047",37.3858642578125,-5.99081087112427
"863281",44.0613098144531,125.184097290039
"506608",45.5963516235352,12.8798398971558
"321181",21.5686912536621,111.838287353516
"360431",32.9709434509277,-117.267883300781
"413418",9.96948528289795,-84.8429565429688
"889590",46.0859413146973,14.4728031158447
"167731",NA,NA
"532607",31.3113842010498,120.603134155273
"235997",51.8644828796387,104.868476867676
"789108",10.2420701980591,77.4951400756836
"690144",51.778392791748,9.30068969726562
"331664",26.8729190826416,100.228294372559
"799866",30.1324100494385,118.129913330078
"301996",-0.0491239987313747,109.35620880127
"440440",13.8400001525879,75.7020034790039
"444753",7.83699989318848,98.379997253418
